iter	Passed	Remaining
0	64	64769
1	65	32567
2	65	21889
3	66	16505
4	66	13271
5	67	11119
6	67	9584
7	67	8426
8	68	7537
9	68	6816
10	69	6226
11	69	5736
12	70	5321
13	70	4963
14	70	4652
15	71	4381
16	71	4144
17	72	3934
18	72	3750
19	73	3586
20	73	3433
21	74	3291
22	74	3171
23	75	3053
24	75	2944
25	75	2842
26	76	2751
27	76	2665
28	77	2592
29	78	2524
30	78	2455
31	78	2389
32	79	2328
33	79	2272
34	80	2216
35	80	2163
36	81	2115
37	81	2068
38	82	2024
39	82	1982
40	83	1945
41	83	1911
42	84	1874
43	84	1840
44	85	1806
45	85	1774
46	86	1743
47	86	1715
48	86	1687
49	87	1660
50	87	1635
51	88	1609
52	88	1585
53	89	1564
54	89	1543
55	90	1523
56	90	1501
57	91	1481
58	91	1461
59	92	1442
60	92	1424
61	93	1407
62	93	1389
63	94	1375
64	94	1359
65	94	1343
66	95	1328
67	95	1313
68	96	1299
69	96	1285
70	97	1272
71	97	1258
72	98	1245
73	98	1233
74	98	1220
75	99	1208
76	99	1197
77	100	1185
78	100	1174
79	101	1162
80	101	1151
81	102	1142
82	102	1128
83	102	1118
84	102	1108
85	103	1098
86	103	1089
87	104	1080
88	104	1071
89	105	1062
90	105	1056
91	106	1048
92	106	1040
93	107	1034
94	107	1026
95	108	1018
96	108	1011
97	109	1005
98	112	1023
99	114	1033
100	115	1025
101	116	1028
102	117	1021
103	117	1013
104	118	1008
105	118	1002
106	119	996
107	119	990
108	120	983
109	120	978
110	121	972
111	121	966
112	122	960
113	122	954
114	123	948
115	123	943
116	124	936
117	124	931
118	125	926
119	125	921
120	126	915
121	126	908
122	126	903
123	127	898
124	127	894
125	128	890
126	128	884
127	129	879
128	129	874
129	129	869
130	130	865
131	130	860
132	131	855
133	131	851
134	132	846
135	132	842
136	132	837
137	133	833
138	133	829
139	134	825
140	134	821
141	135	815
142	135	811
143	135	807
144	136	804
145	136	800
146	137	797
147	137	793
148	138	790
149	138	787
150	139	783
151	139	780
152	140	776
153	140	772
154	141	769
155	141	766
156	142	763
157	142	759
158	142	756
159	143	752
160	143	748
161	143	744
162	144	742
163	145	739
164	145	736
165	145	733
166	146	729
167	146	726
168	147	723
169	147	720
170	148	717
171	148	714
172	148	711
173	149	709
174	149	706
175	150	704
176	153	715
177	160	739
178	162	746
179	163	743
180	163	741
181	164	738
182	165	737
183	165	734
184	166	731
185	166	729
186	167	726
187	167	723
188	168	721
189	168	718
190	169	716
191	169	713
192	169	710
193	170	708
194	171	706
195	171	703
196	171	700
197	172	698
198	172	695
199	173	693
200	173	690
201	174	687
202	174	685
203	175	682
204	175	680
205	175	677
206	176	675
207	176	673
208	177	671
209	177	668
210	178	666
211	178	664
212	179	661
213	179	659
214	180	657
215	180	655
216	180	652
217	181	650
218	181	648
219	182	647
220	182	644
221	183	642
222	183	640
223	184	638
224	184	636
225	185	634
226	185	632
227	186	630
228	186	628
229	187	626
230	187	625
231	188	623
232	188	621
233	189	619
234	189	618
235	190	616
236	190	613
237	191	612
238	191	610
239	192	608
240	192	606
241	193	604
242	193	602
243	193	600
244	194	599
245	195	599
246	195	597
247	196	595
248	196	594
249	197	592
250	197	590
251	198	588
252	198	587
253	199	585
254	199	583
255	200	582
256	200	580
257	201	578
258	201	576
259	201	574
260	202	573
261	202	571
262	203	569
263	203	567
264	204	566
265	204	564
266	204	562
267	205	561
268	206	559
269	206	558
270	207	556
271	207	555
272	208	553
273	208	552
274	208	550
275	209	549
276	210	548
277	210	546
278	210	545
279	211	543
280	211	541
281	212	540
282	212	538
283	213	537
284	213	536
285	218	545
286	220	547
287	221	546
288	222	546
289	224	550
290	228	555
291	230	558
292	230	556
293	231	555
294	233	557
295	233	555
296	234	554
297	234	552
298	235	550
299	235	549
300	235	547
301	236	546
302	236	544
303	237	543
304	237	542
305	238	540
306	238	538
307	239	537
308	239	535
309	240	534
310	240	532
311	240	531
312	241	529
313	241	528
314	242	527
315	243	526
316	243	524
317	244	523
318	244	522
319	245	521
320	245	519
321	246	518
322	246	516
323	247	515
324	247	514
325	248	512
326	248	511
327	248	510
328	249	508
329	249	507
330	250	505
331	250	504
332	251	503
333	251	502
334	252	500
335	252	499
336	253	497
337	253	496
338	253	495
339	254	493
340	254	492
341	255	491
342	255	489
343	256	488
344	256	487
345	258	488
346	258	487
347	259	485
348	259	484
349	260	483
350	260	482
351	261	480
352	261	479
353	262	478
354	262	477
355	263	476
356	263	474
357	263	473
358	264	472
359	264	471
360	265	469
361	265	468
362	266	467
363	266	466
364	267	464
365	267	463
366	268	462
367	268	461
368	269	460
369	269	459
370	270	457
371	270	456
372	270	455
373	271	454
374	271	453
375	272	452
376	272	450
377	273	450
378	274	449
379	274	448
380	275	447
381	275	446
382	276	444
383	276	443
384	277	442
385	277	441
386	278	440
387	278	439
388	279	439
389	280	437
390	280	436
391	280	435
392	281	434
393	281	433
394	282	432
395	285	435
396	289	439
397	291	440
398	293	441
399	295	443
400	296	442
401	299	445
402	302	447
403	304	449
404	305	448
405	305	447
406	306	446
407	306	444
408	307	443
409	308	443
410	308	442
411	309	441
412	309	440
413	310	439
414	310	438
415	311	437
416	311	435
417	312	434
418	312	433
419	313	432
420	313	431
421	314	430
422	314	429
423	315	428
424	315	427
425	316	426
426	316	425
427	317	423
428	317	422
429	318	421
430	318	420
431	319	419
432	319	418
433	320	417
434	320	416
435	321	415
436	321	414
437	322	413
438	322	412
439	323	411
440	323	410
441	324	409
442	325	408
443	325	408
444	326	407
445	326	406
446	327	404
447	327	403
448	328	402
449	328	401
450	329	400
451	329	399
452	330	398
453	330	397
454	331	396
455	331	395
456	332	395
457	333	394
458	333	393
459	334	392
460	334	391
461	335	390
462	335	389
463	336	388
464	337	387
465	337	386
466	338	385
467	338	384
468	339	383
469	339	382
470	340	382
471	340	381
472	341	380
473	341	379
474	342	378
475	342	377
476	343	376
477	343	375
478	344	374
479	345	373
480	345	372
481	346	371
482	346	371
483	347	370
484	347	369
485	348	368
486	348	367
487	350	367
488	357	373
489	360	375
490	362	375
491	367	379
492	369	379
493	369	378
494	370	377
495	370	376
496	371	376
497	372	375
498	372	374
499	373	373
500	373	372
501	374	371
502	375	370
503	375	369
504	376	368
505	376	367
506	377	366
507	377	366
508	378	365
509	379	364
510	379	363
511	380	362
512	380	361
513	381	360
514	381	359
515	382	358
516	382	357
517	383	356
518	383	355
519	384	354
520	384	353
521	385	352
522	385	351
523	386	350
524	386	350
525	387	349
526	387	348
527	388	347
528	389	346
529	389	345
530	390	344
531	390	343
532	391	342
533	391	341
534	392	340
535	392	339
536	393	339
537	393	338
538	394	337
539	394	336
540	395	335
541	395	334
542	396	333
543	396	332
544	397	331
545	397	330
546	398	329
547	398	328
548	399	327
549	399	326
550	400	325
551	400	325
552	401	324
553	401	323
554	402	322
555	402	321
556	403	320
557	403	319
558	404	319
559	404	318
560	405	317
561	405	316
562	406	315
563	407	314
564	407	313
565	408	313
566	408	312
567	409	311
568	409	310
569	410	309
570	410	308
571	411	307
572	411	306
573	412	306
574	412	305
575	413	304
576	413	303
577	414	302
578	414	301
579	415	300
580	415	299
581	416	299
582	416	298
583	417	297
584	417	296
585	418	295
586	418	294
587	419	293
588	419	293
589	420	292
590	420	291
591	421	290
592	421	289
593	422	288
594	422	287
595	423	287
596	424	286
597	424	285
598	425	284
599	425	283
600	426	282
601	426	282
602	427	281
603	427	280
604	428	279
605	428	278
606	429	277
607	429	277
608	430	276
609	430	275
610	431	274
611	431	273
612	432	272
613	432	271
614	433	271
615	433	270
616	434	269
617	434	268
618	435	267
619	435	267
620	436	266
621	436	265
622	437	264
623	437	263
624	438	263
625	438	262
626	439	261
627	439	260
628	440	259
629	441	259
630	441	258
631	442	257
632	442	256
633	443	255
634	443	254
635	444	254
636	444	253
637	444	252
638	445	251
639	445	250
640	446	250
641	446	249
642	447	248
643	447	247
644	448	247
645	454	248
646	455	248
647	466	253
648	466	252
649	471	253
650	472	253
651	473	252
652	474	251
653	474	251
654	475	250
655	476	249
656	476	248
657	477	248
658	477	247
659	478	246
660	478	245
661	479	244
662	479	243
663	480	243
664	480	242
665	481	241
666	481	240
667	482	239
668	482	238
669	483	238
670	483	237
671	484	236
672	484	235
673	485	234
674	486	234
675	486	233
676	487	232
677	487	231
678	488	230
679	488	230
680	489	229
681	489	228
682	490	227
683	490	226
684	491	225
685	491	225
686	492	224
687	493	223
688	493	222
689	494	221
690	494	221
691	495	220
692	495	219
693	496	218
694	496	217
695	497	217
696	497	216
697	498	215
698	498	214
699	499	213
700	499	213
701	500	212
702	500	211
703	501	210
704	502	210
705	502	209
706	503	208
707	503	207
708	504	207
709	504	206
710	505	205
711	505	204
712	506	203
713	506	203
714	507	202
715	508	201
716	508	200
717	508	199
718	509	199
719	509	198
720	510	197
721	511	196
722	511	195
723	512	195
724	512	194
725	512	193
726	513	192
727	513	192
728	514	191
729	515	190
730	515	189
731	516	189
732	517	188
733	517	187
734	518	186
735	518	186
736	519	185
737	519	184
738	520	183
739	520	182
740	521	182
741	521	181
742	522	180
743	522	179
744	523	179
745	523	178
746	524	177
747	524	176
748	525	176
749	525	175
750	526	174
751	526	173
752	527	172
753	527	172
754	528	171
755	528	170
756	529	169
757	529	169
758	530	168
759	530	167
760	531	166
761	531	166
762	532	165
763	533	164
764	533	163
765	534	163
766	534	162
767	535	161
768	535	160
769	536	160
770	536	159
771	537	158
772	537	157
773	538	157
774	538	156
775	539	155
776	539	154
777	540	154
778	540	153
779	541	152
780	541	151
781	542	151
782	543	150
783	543	149
784	544	149
785	545	148
786	546	147
787	547	147
788	547	146
789	548	145
790	549	145
791	549	144
792	550	143
793	550	142
794	551	142
795	553	141
796	556	141
797	566	143
798	566	142
799	570	142
800	574	142
801	578	142
802	584	143
803	585	142
804	586	142
805	587	141
806	589	141
807	590	140
808	590	139
809	591	138
810	591	137
811	592	137
812	593	136
813	593	135
814	593	134
815	594	134
816	594	133
817	595	132
818	596	131
819	596	130
820	597	130
821	597	129
822	598	128
823	599	127
824	599	127
825	600	126
826	600	125
827	601	124
828	601	124
829	602	123
830	602	122
831	603	121
832	603	121
833	604	120
834	604	119
835	605	118
836	606	118
837	606	117
838	607	116
839	607	115
840	608	114
841	608	114
842	609	113
843	609	112
844	610	111
845	610	111
846	611	110
847	612	109
848	612	108
849	613	108
850	613	107
851	614	106
852	615	105
853	615	105
854	616	104
855	616	103
856	617	102
857	617	102
858	618	101
859	618	100
860	618	99
861	619	99
862	620	98
863	620	97
864	620	96
865	621	96
866	622	95
867	622	94
868	623	93
869	623	93
870	624	92
871	624	91
872	625	90
873	625	90
874	626	89
875	626	88
876	627	87
877	627	87
878	628	86
879	629	85
880	629	85
881	630	84
882	631	83
883	631	82
884	632	82
885	632	81
886	633	80
887	633	79
888	634	79
889	634	78
890	635	77
891	636	77
892	636	76
893	637	75
894	637	74
895	638	74
896	639	73
897	639	72
898	640	71
899	640	71
900	641	70
901	641	69
902	642	69
903	643	68
904	643	67
905	644	66
906	645	66
907	645	65
908	646	64
909	647	63
910	647	63
911	648	62
912	648	61
913	649	61
914	649	60
915	650	59
916	650	58
917	651	58
918	652	57
919	652	56
920	653	56
921	653	55
922	654	54
923	654	53
924	655	53
925	656	52
926	656	51
927	657	51
928	658	50
929	658	49
930	659	48
931	660	48
932	660	47
933	661	46
934	665	46
935	670	45
936	670	45
937	677	44
938	682	44
939	685	43
940	690	43
941	692	42
942	695	42
943	698	41
944	700	40
945	701	40
946	701	39
947	702	38
948	706	37
949	706	37
950	707	36
951	708	35
952	708	34
953	709	34
954	710	33
955	710	32
956	711	31
957	712	31
958	712	30
959	713	29
960	714	28
961	714	28
962	715	27
963	716	26
964	716	25
965	717	25
966	717	24
967	718	23
968	719	23
969	720	22
970	720	21
971	721	20
972	722	20
973	722	19
974	723	18
975	723	17
976	724	17
977	725	16
978	726	15
979	726	14
980	727	14
981	728	13
982	728	12
983	729	11
984	730	11
985	730	10
986	731	9
987	731	8
988	732	8
989	733	7
990	733	6
991	734	5
992	735	5
993	735	4
994	736	3
995	737	2
996	738	2
997	738	1
998	739	0
999	740	0
